,Country,Species..ASFIS.species.,Aquaculture.area..FAO.major.fishing.area.,Environment..Environment.,Unit,X2010,X2011,X2012,X2013,X2014,avg_prod,suitable_area,total_area
148,Singapore,All,All,Marine,t,3063,3458,3097,4463,4368,3689.8,662.3048017,721.555203
149,Slovenia,All,All,Marine,t,119,495,364,379,498,371,144.4727904,149.4607044
150,Solomon Islands,All,All,Marine,t,8000,8000,12850,16700,18000,12710,22990.47664,1605255.915
151,South Africa,All,All,Marine,t,4006,4768,4261,4255,4405,4339,60046.75994,1547615.21
153,Spain,All,All,Marine,t,229322,251054,243964,204338,264285,238592.6,45458.81416,1007678.968
154,Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,29217.41894,533545.9914
155,St. Pierre and Miquelon,All,All,Marine,t,NA,2,3,5,59,17.25,NA,NA
156,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,17975.20016,82559.4531
157,Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,49560.55734,133316.4184
158,Sweden,All,All,Marine,t,3665,4725,4359,4824,4239,4362.4,120616.5293,155951.8367
159,Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,599.9167271,10270.25536
160,Taiwan,NA,All,Marine,t,41429,38098,30390,31705,29196,34163.6,61142.95667,429248.9942
162,Tanzania,NA,NA,NA,NA,6885,6601,6510,6689,6705,6678,16048.93644,241452.7984
164,Thailand,All,All,Marine,t,270628,186729,185860,216839,209567,213924.6,220780.0738,298685.971
165,Timor-Leste,All,All,Marine,t,1500,1500,1500,1500,1500,1500,NA,NA
166,Togo,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1086.331449,15439.2618
167,Tonga,All,All,Marine,t,0,0,NA,0,0,0,5827.850026,666078.5279
169,Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,17434.68901,76575.03602
170,Tunisia,All,All,Marine,t,350,70,220,630,96,273.2,54260.05255,99763.73732
171,Turkey,All,All,Marine,t,89153,88444,101248,110845,126063,103150.6,38659.84183,262134.6272
172,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,47174.75905,61222.86094
173,Turks and Caicos Is.,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
174,Tuvalu,All,All,Marine,t,3,3,3,3,3,3,3458.00327,753126.4347
175,Ukraine,All,All,Marine,t,79,63,117,70,70,79.8,72689.85283,136252.7347
176,Un. Sov. Soc. Rep.,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
177,United Arab Emirates,All,All,Marine,t,182,395,390,660,640,453.4,56119.75022,58753.54665
178,United Kingdom,All,All,Marine,t,188370,187109,192250,192104,191163,190199.2,412572.7583,6613920.115
180,United States of America,All,All,Marine,t,196053,155958,191201,183167,183892,182054.2,1707053.904,12168351.8
181,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,65427.06509,143090.7105
182,Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,4073.110551,623417.0685
183,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,95436.38337,473730.6153
184,"Venezuela, Boliv Rep of",All,All,Marine,t,1,1,0,NA,1,0.75,NA,NA
185,Viet Nam,All,All,Marine,t,122839,134033,169121,201609,209662,167452.8,352482.0482,750997.839
187,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,53540.12525,284066.3754
188,Yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,41783.67722,527382.7338
189,Yugoslavia SFR,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
190,Zanzibar,All,All,Marine,t,125157,130400,150876,110438,133020,129978.2,NA,NA
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,8000.04292,338839.1583
