"","EEZ","Country","Sovereign","Area_m2"
"206","Kiribati Exclusive Economic Zone","Kiribati","Kiribati",1053096984000
"207","South Korean Exclusive Economic Zone","South Korea","South Korea",324430270500
"208","Guatemalan Exclusive Economic Zone","Guatemala","Guatemala",118089563400
"209","Mexican Exclusive Economic Zone","Mexico","Mexico",3277764999000
"210","Belizean Exclusive Economic Zone","Belize","Belize",36171820160
"211","Nicaraguan Exclusive Economic Zone","Nicaragua","Nicaragua",223533189700
"212","Honduran Exclusive Economic Zone","Honduras","Honduras",219299347800
"213","French Exclusive Economic Zone","France","France",343427454900
"214","Malaysian Exclusive Economic Zone","Malaysia","Malaysia",450729857500
"215","Palau Exclusive Economic Zone","Palau","Palau",606846558700
"216","North Korean Exclusive Economic Zone","North Korea","North Korea",115672438000
"217","Joint Japan - Korea","Japan - Korea","Joint Regime",83419259420
"218","Costa Rican Exclusive Economic Zone","Costa Rica","Costa Rica",574324332300
"219","Spanish Exclusive Economic Zone","Spain","Spain",554656891000
"220","Swedish Exclusive Economic Zone","Sweden","Sweden",154595957100
"221","German Exclusive Economic Zone","Germany","Germany",56252704750
"222","Iranian Exclusive Economic Zone","Iran","Iran",224296162200
"223","Monégasque Exclusive Economic Zone","Monaco","Monaco",283724564.5
"224","Moroccan Exclusive Economic Zone","Morocco","Morocco",275565884000
"225","Equatorial Guinean Exclusive Economic Zone","Equatorial Guinea","Equatorial Guinea",309674158200
"226","Montenegrin Exclusive Economic Zone","Montenegro","Montenegro",7439224831
"227","Qatari Exclusive Economic Zone","Qatar","Qatar",31921821800
"228","Aruban Exclusive Economic Zone","Aruba","Netherlands",25343194980
"229","Bonaire Exclusive Economic Zone","Bonaire","Netherlands",13292044570
"230","Bruneian Exclusive Economic Zone","Brunei","Brunei",25573687140
"231","Sint-Maarten Exclusive Economic Zone","Sint-Maarten","Netherlands",496380924.1
"232","Sint-Eustasius Exclusive Economic Zone","Sint-Eustasius","Netherlands",2237456989
"233","Senegalese Exclusive Economic Zone","Senegal","Senegal",158073603200
"234","Haitian Exclusive Economic Zone","Haiti","Haiti",123753370200
"235","East Timor Exclusive Economic Zone","East Timor","East Timor",40149661310
"236","Oecussi Ambeno Exclusive Economic Zone","Oecussi Ambeno","East Timor",2270426344
"237","Juan de Nova Exclusive Economic Zone","Juan de Nova Island","France",62415588110
"238","Ile Europa Exclusive Economic Zone","Ile Europa","France",125332751200
"239","Disputed Sudan-Egypt","Sudan/Egypt","Disputed",25880122200
"240","Virgin Islander Exclusive Economic Zone","Virgin Islands of the United States","United States",35953120580
"241","Martinique Exclusive Economic Zone","Martinique","France",47705710220
"242","Colombian Exclusive Economic Zone (Quitasueño)","Colombia","Colombia",4645350207
"243","Colombian Exclusive Economic Zone (Serrara)","Colombia","Colombia",3995199763
"244","Colombian Exclusive Economic Zone","Colombia","Colombia",720806297500
"245","Norwegian Exclusive Economic Zone","Norway","Norway",924086219300
"246","Disputed Western Sahara/Mauritania","Western Sahara/Mauritania","Disputed",49896105030
"247","Disputed Kenya/Somalia","Kenya/Somalia","Disputed",51521491170
"248","Disputed Trinidad and Tobago/Venezuela/Guyana","Trinidad and Tobago/Venezuela/Guyana","Disputed",4352346187
