"","Country","EEZ suitable area (km^2)"
"176",176,56429.4103033109
"177",177,64274.929981739
"178",178,30699.1908813358
"179",179,97811.5390739069
"180",180,339856.955457796
"181",181,64197.2783059662
"182",182,41674.77717492
"183",183,14184.9054697945
"184",184,70983.9621438008
"185",185,4.94960746558369
"186",186,2008.71498118651
"187",187,26788.324280385
"188",188,180.396733683578
"189",189,6028.41968017156
"190",190,31586.978080508
"191",191,120284.982100877
"192",192,509.819582571815
"193",193,33174.2922506886
"194",194,46475.2787641621
"195",195,10386.2347166543
"196",196,36078.7951455547
"197",197,10890.0374374501
"198",198,30227.0400491718
"199",199,1727.50812590139
"200",200,36209.7299568863
"201",201,0
"202",202,16019.1450773908
"203",203,340507.729131639
"204",204,50404.9597182555
"205",205,187277.37587767
"206",206,347880.5823811
"207",207,343741.524492089
"208",208,569.155292123556
"209",209,766698.912886383
"210",210,154822.855417253
"211",211,13461.0120850092
"212",212,3879.77932320917
"213",213,78309.8506498478
"214",214,46647.4423295296
"215",215,2.97747306846658
"216",216,1690659.52279969
"217",217,8806.90279962009
"218",218,1495441.47168981
"220",220,124.420988979947
"221",221,2024.06641945424
"222",222,121539.339698755
"223",223,195394.47481494
"225",225,70.2190184620613
"226",226,25.8882461570452
"227",227,2922.14225239948
"228",228,8505.93671836077
"231",231,1549.87257110063
"232",232,6.26954405312395
"238",238,17133.7200336388
"239",239,3655.84441245179
"240",240,99435.4865532935
"241",241,19552.6406206361
"242",242,85971.355932996
"243",243,63276.6666271155
"244",244,1032.64290974745
"245",245,83.5525173550509
"246",246,101.945151388097
"247",247,7712.11844547164
"248",248,1962.20399272792
"249",249,123.973651670147
"250",250,10099.244964152
"260",260,0
