"","Country","EEZ","Sovereign","Area_m2","Species..ASFIS.species.","Aquaculture.area..FAO.major.fishing.area.","Environment..Environment.","Unit","X2010","X2011","X2012","X2013","X2014","avg_prod"
"73","Estonia","Estonian Exclusive Economic Zone","Estonia","36261807110","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"74","aeroe Islands","aeroe Islands Exclusive Economic Zone","Denmark","265815789700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","alkland Islands","alkland Islands Exclusive Economic Zone","United Kingdom","547890668800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","iji","ijian Exclusive Economic Zone","iji","1285764601000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","inland","innish Exclusive Economic Zone","inland","79291769040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","rance","rench Exclusive Economic Zone","rance","343427454900","All","All","Marine","t",183240,167833.3,166625,160035.9,160760,167698.84
"79","rench Guiana","rench Guiana Exclusive Economic Zone","rance","136079764500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","rench Polynesia","rench Polynesian Exclusive Economic Zone","rance","4786147392000","All","All","Marine","t",2184.44,2918.92,2654.56,2697.67,2086.56,2508.43
"81","Gabon","Gabonese Exclusive Economic Zone","Gabon","192863145900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Galapagos Islands","Ecuadorean Exclusive Economic Zone (Galapagos)","Ecuador","839277028600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Gambia","Gambian Exclusive Economic Zone","Gambia","22692488820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Georgia","Georgian Exclusive Economic Zone","Georgia","22848535120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Germany","German Exclusive Economic Zone","Germany","56252704750","All","All","Marine","t",4985,20910,7013,5116,5360,8676.8
"86","Ghana","Ghanaian Exclusive Economic Zone","Ghana","226271212900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Gibraltar","Gibraltarian Exclusive Economic Zone","United Kingdom","425812459.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Glorioso Islands","Glorioso Exclusive Economic Zone","rance","43582590830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Greece","Greek Exclusive Economic Zone","Greece","493071722600","All","All","Marine","t",117063,107414.1,107728.82,110714.96,101835.7,108951.316
"90","Greenland","Greenlandic Exclusive Economic Zone","Denmark","2258669168000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Grenada","Grenadian Exclusive Economic Zone","Grenada","26225673760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Guadeloupe","Guadeloupean Exclusive Economic Zone","rance","90711751430","All","All","Marine","t",3,2,2,2,15,4.8
"93","Guatemala","Guatemalan Exclusive Economic Zone","Guatemala","118089563400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Guernsey","Guernsey Exclusive Economic Zone","United Kingdom","8653557503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Guinea","Guinean Exclusive Economic Zone","Guinea","109994530600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Guinea Bissau","Guinea Bissau Exclusive Economic Zone","Guinea Bissau","106297946700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Guyana","Guyanese Exclusive Economic Zone","Guyana","136600603500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Haiti","Haitian Exclusive Economic Zone","Haiti","123753370200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Hawaii","United States Exclusive Exclusive Economic Zone (Hawaii)","United States","2480121736000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Heard and McDonald Islands","Heard and McDonald Islands Exclusive Economic Zone","Australia","414883002500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Honduras","Honduran Exclusive Economic Zone","Honduras","219299347800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Howland Island and Baker Island","Howland and Baker Island Exclusive Economic Zone","United States","436866982100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Iceland","Icelandic Exclusive Economic Zone","Iceland","751203550000","All","All","Marine","t",1467,976,997,706.2,454,920.04
"104","Ile Europa","Ile Europa Exclusive Economic Zone","rance","125332751200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Ile Tromelin","Ile Tromelin Exclusive Economic Zone","rance","271446713700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","India","Indian Exclusive Economic Zone","India","1633986527000","All","All","Marine","t",22257,18514,17405,18600,17200,18795.2
"107","Indonesia","Indonesian Exclusive Economic Zone","Indonesia","5934985871000","All","All","Marine","t",3512271,4613918.17,5769737.54,8381562.4,9033388.8,6262175.582
"108","Iran","Iranian Exclusive Economic Zone","Iran","224296162200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Iraq","Iraqi Exclusive Economic Zone","Iraq","594542106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Ireland","Irish Exclusive Economic Zone","Ireland","425541392200","All","All","Marine","t",45758.3,43609.37,35450.61,33390.2,30314.2,37704.536
"111","Israel","Israeli Exclusive Economic Zone","Israel","27779080540","All","All","Marine","t",1175,1370,1980,2530,2403,1891.6
"112","Italy","Italian Exclusive Economic Zone","Italy","537659928400","All","All","Marine","t",71953.05,86347.4,85428,85428,85363,82903.89
"113","Ivory Coast","Ivory Coast Exclusive Economic Zone","Ivory Coast","174453300500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Jamaica","Jamaican Exclusive Economic Zone","Jamaica","245699055600","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"115","Jan Mayen","ishieries Zone around Jan Mayen","Norway","291353422300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Japan","Japanese Exclusive Economic Zone","Japan","4031753369000","All","All","Marine","t",1111338.29,867265.5,1039504,996329,986320,1000151.358
"117","Japan - Korea","Joint Japan - Korea","Joint Regime","83419259420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Japan - South Korea Conflict Zone","Japan - South Korea Conflict Zone","Disputed","66308992170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Jarvis Island","Jarvis Island Exclusive Economic Zone","United States","317975169400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Jersey","Jersey Exclusive Economic Zone","United Kingdom","2955473639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Johnston Atoll","Johnston Atoll Exclusive Economic Zone","United States","444121147800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Jordan","Jordanian Exclusive Economic Zone","Jordan","93456550.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Juan de Nova Island","Juan de Nova Exclusive Economic Zone","rance","62415588110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Kazakhstan","Kazakh Exclusive Economic Zone","Kazakhstan","118813701800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Kenya","Kenyan Exclusive Economic Zone","Kenya","112221457600","All","All","Marine","t",40,160,400,400,NA,250
"126","Kenya/Somalia","Disputed Kenya/Somalia","Disputed","51521491170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Kerguelen Islands","Kerguelen Islands Exclusive Economic Zone","rance","566155286000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Kiribati","Kiribati Exclusive Economic Zone","Kiribati","1053096984000","All","All","Marine","t",4745,4290,8280,2250,3580,4629
"129","Kuwait","Kuwaiti Exclusive Economic Zone","Kuwait","11866664360","All","All","Marine","t",10,10,10,2,2,6.8
"130","Latvia","Latvian Exclusive Economic Zone","Latvia","28828531680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Lebanon","Lebanese Exclusive Economic Zone","Lebanon","19267797030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Liberia","Liberian Exclusive Economic Zone","Liberia","247210486800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Libya","Libyan Exclusive Economic Zone","Libya","357268631200","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"134","Line Group","Kiribati Exclusive Economic Zone (Line Group)","Kiribati","1652465701000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Lithuania","Lithuanian Exclusive Economic Zone","Lithuania","6110871150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Macquarie Island","Australian Exclusive Economic Zone (Macquarie Island)","Australia","474228476500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Madagascar","Madagascan Exclusive Economic Zone","Madagascar","1203109906000","All","All","Marine","t",8001,7105,6352.5,8938,13055,8690.3
"138","Madeira","Portuguese Exclusive Economic Zone (Madeira)","Portugal","454009959200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Malaysia","Malaysian Exclusive Economic Zone","Malaysia","450729857500","All","All","Marine","t",297258,300245,376624,311427.24,288044.09,314719.666
"140","Maldives","Maldives Exclusive Economic Zone","Maldives","920102286000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Malta","Maltese Exclusive Economic Zone","Malta","55451305650","All","All","Marine","t",2916,2126.72,4336,5266,4917,3912.344
"142","Marshall Islands","Marshall Islands Exclusive Economic Zone","Marshall Islands","2000119265000","All","All","Marine","t",NA,NA,NA,NA,0.61,0.61
"143","Martinique","Martinique Exclusive Economic Zone","rance","47705710220","All","All","Marine","t",72,40,40,45,59,51.2
"144","Mauritania","Mauritanian Exclusive Economic Zone","Mauritania","155728603900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Mauritius","Mauritian Exclusive Economic Zone","Mauritius","1277049080000","All","All","Marine","t",502.4,463.2,439,347,686,487.52
"146","Mayotte","Mayotte Exclusive Economic Zone","rance","63222282200","All","All","Marine","t",76,44,105,109.2,120,90.84
"147","Mexico","Mexican Exclusive Economic Zone","Mexico","3277764999000","All","All","Marine","t",104657,113265,101443.02,69919.27,96336.98,97124.254
"148","Micronesia","Micronesian Exclusive Economic Zone","Micronesia","3005199853000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Monaco","Monégasque Exclusive Economic Zone","Monaco","283724564.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Montenegro","Montenegrin Exclusive Economic Zone","Montenegro","7439224831","All","All","Marine","t",270,320,281,281,262,282.8
"151","Montserrat","Montserrat Exclusive Economic Zone","United Kingdom","7611463072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Morocco","Moroccan Exclusive Economic Zone","Morocco","275565884000","All","All","Marine","t",48.55,64,169,170,237,137.71
"153","Mozambique","Mozambican Exclusive Economic Zone","Mozambique","573483948100","All","All","Marine","t",667,512,109,140,160,317.6
"154","Myanmar","Myanmar Exclusive Economic Zone","Myanmar","512842402300","All","All","Marine","t",77273.1,56701.4,59777,58780,59950,62496.3
"155","Namibia","Namibian Exclusive Economic Zone","Namibia","561283347600","All","All","Marine","t",645,472.75,475,615,825,606.55
"156","Nauru","Nauruan Exclusive Economic Zone","Nauru","309887943500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Netherlands","Dutch Exclusive Economic Zone","Netherlands","64086430100","All","All","Marine","t",60205.1,39399.9,42559.4,56820,56820,51160.88
"158","New Caledonia","New Caledonian Exclusive Economic Zone","rance","1372865287000","All","All","Marine","t",1220,1561,1663,1593,1656,1538.6
"159","New Zealand","New Zealand Exclusive Economic Zone","New Zealand","4098199086000","All","All","Marine","t",109967,116591,98958,96550,108789.85,106171.17
"160","Nicaragua","Nicaraguan Exclusive Economic Zone","Nicaragua","223533189700","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"161","Nigeria","Nigerian Exclusive Economic Zone","Nigeria","182459351100","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"162","Nigeria - Sao Tome and Principe","Nigeria - Sao Tome and Principe Joint","Joint Regime","34690898020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Niue","Niue Exclusive Economic Zone","New Zealand","317508271500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Norfolk Island","Norfolk Island Exclusive Economic Zone","Australia","431631920100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","North Korea","North Korean Exclusive Economic Zone","North Korea","115672438000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Northern Mariana Islands and Guam","Northern Mariana Islands and Guam Exclusive Economic Zone","United States","973939245400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Northern Saint-Martin","Saint-Martin Exclusive Economic Zone","rance","5374689730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Norway","Norwegian Exclusive Economic Zone","Norway","924086219300","All","All","Marine","t",1019713.94,1143820.34,1321034.1,1247762.08,1332421.5,1212950.392
"169","Oecussi Ambeno","Oecussi Ambeno Exclusive Economic Zone","East Timor","2270426344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Oman","Omani Exclusive Economic Zone","Oman","537779114100","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"171","Pakistan","Pakistani Exclusive Economic Zone","Pakistan","222223378400","All","All","Marine","t",101,105,108,112,115,108.2
"172","Palau","Palau Exclusive Economic Zone","Palau","606846558700","All","All","Marine","t",25.11,23.58,35.91,19.9,10.53,23.006
"173","Palmyra Atoll","Palmyra Atoll Exclusive Economic Zone","United States","352340345400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Panama","Panamanian Exclusive Economic Zone","Panama","332265093100","All","All","Marine","t",150,300,230,980,1459,623.8
"175","Papua New Guinea","Papua New Guinean Exclusive Economic Zone","Papua New Guinea","2403321997000","All","All","Marine","t",100,250,1400,2500,3000,1450
"176","Paracel Islands","Paracel Islands Exclusive Economic Zone","Disputed","294000397300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Peru","Peruvian Exclusive Economic Zone","Peru","836378594600","All","All","Marine","t",71701,68592,42729.55,85624.67,76588.37,69047.118
"178","Philippines","Philippines Exclusive Economic Zone","Philippines","1830854006000","All","All","Marine","t",1933396,1990090,1911703,1727165,1715663,1855603.4
"179","Phoenix Group","Kiribati Exclusive Economic Zone (Phoenix Group)","Kiribati","746344723000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Pitcairn","Pitcairn Exclusive Economic Zone","United Kingdom","837887962600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Poland","Polish Exclusive Economic Zone","Poland","31890411960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Portugal","Portuguese Exclusive Economic Zone","Portugal","311016366200","All","All","Marine","t",6000.88,6708.79,9474.6,8891.33,10113.26,8237.772
"183","Prince Edward Islands","South African Exclusive Economic Zone (Prince Edward Islands)","South Africa","472130847200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Puerto Rico of the United States","Puerto Rican Exclusive Economic Zone","United States","175765656400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Qatar","Qatari Exclusive Economic Zone","Qatar","31921821800","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"186","République du Congo","Congolese Exclusive Economic Zone","République du Congo","39782434530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Réunion","Réunion Exclusive Economic Zone","rance","315823179500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Romania","Romanian Exclusive Economic Zone","Romania","29662912350","All","All","Marine","t",NA,1.31,2,2,32,9.3275
"189","Russia","Russian Exclusive Economic Zone","Russia","7632664971000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Saba","Saba Exclusive Economic Zone","Netherlands","9455631072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Saint Helena","St. Helena Exclusive Economic Zone","United Kingdom","446456234300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Saint Kitts and Nevis","Saint Kitts and Nevis Exclusive Economic Zone","Saint Kitts and Nevis","10241375230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Saint Lucia","Saint Lucia Exclusive Economic Zone","Saint Lucia","15526843420","All","All","Marine","t",15.4,10.9,14.9,26,20.6,17.56
"194","Saint Pierre and Miquelon","Saint-Pierre and Miquelon Exclusive Economic Zone","rance","12312380530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines Exclusive Economic Zone","Saint Vincent and the Grenadines","36427905460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Samoa","Samoan Exclusive Economic Zone","Samoa","132009187300","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"197","Sao Tome and Principe","Sao Tome and Principe Exclusive Economic Zone","Sao Tome and Principe","131416903000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Saudi Arabia","Saudi Arabian Exclusive Economic Zone","Saudi Arabia","219842918100","All","All","Marine","t",22610,11214,7392,3240,17440,12379.2
"199","Senegal","Senegalese Exclusive Economic Zone","Senegal","158073603200","All","All","Marine","t",39,118.2,196.2,190,246,157.88
