FID,Date,Island,Boat,Waypoint,Latitude,Longitude,Depth__m_,Habitat_Pr
49,10/19/2015 0:00:00,Montserrat,CC,108.000000000000000,16.808219999999999,-62.168480000000002,35.000000000000000,Low
50,10/19/2015 0:00:00,Montserrat,CC,109.000000000000000,16.807900000000000,-62.167400000000001,36.000000000000000,Low
51,10/19/2015 0:00:00,Montserrat,CC,110.000000000000000,16.802109999999999,-62.171900000000001,28.000000000000000,Low
52,10/19/2015 0:00:00,Montserrat,CC,111.000000000000000,16.814499999999999,-62.172939999999997,34.000000000000000,Slope
53,10/19/2015 0:00:00,Montserrat,CC,112.000000000000000,16.812989999999999,-62.172179999999997,33.000000000000000,Low
54,10/19/2015 0:00:00,Montserrat,CC,113.000000000000000,16.828840000000000,-62.176279999999998,37.000000000000000,Low
55,10/19/2015 0:00:00,Montserrat,CC,114.000000000000000,16.829889999999999,-62.176180000000002,39.000000000000000,Low
56,10/19/2015 0:00:00,Montserrat,CC,115.000000000000000,16.831130000000002,-62.176110000000001,36.000000000000000,Low
57,10/19/2015 0:00:00,Montserrat,CC,116.000000000000000,16.831260000000000,-62.177940000000000,38.000000000000000,Medium
58,10/19/2015 0:00:00,Montserrat,CC,117.000000000000000,16.837309999999999,-62.177799999999998,39.000000000000000,Slope
59,10/19/2015 0:00:00,Montserrat,CC,118.000000000000000,16.837560000000000,-62.176450000000003,39.000000000000000,Low
60,10/19/2015 0:00:00,Montserrat,CC,119.000000000000000,16.837250000000001,-62.175730000000001,39.000000000000000,Low
61,10/19/2015 0:00:00,Montserrat,CC,120.000000000000000,16.838259999999998,-62.174430000000001,42.000000000000000,Low
62,10/19/2015 0:00:00,Montserrat,CC,121.000000000000000,16.837890000000002,-62.173279999999998,43.000000000000000,Low
63,10/19/2015 0:00:00,Montserrat,CC,122.000000000000000,16.836819999999999,-62.171880000000002,44.000000000000000,Low
64,10/19/2015 0:00:00,Montserrat,CC,123.000000000000000,16.835909999999998,-62.171799999999998,43.000000000000000,Low
65,10/19/2015 0:00:00,Montserrat,CC,124.000000000000000,16.835080000000001,-62.170380000000002,42.000000000000000,Low
66,10/19/2015 0:00:00,Montserrat,CC,125.000000000000000,16.832830000000001,-62.168349999999997,46.000000000000000,Low
